"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","test_add_empty_todo[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","300","test_unmark_completed_todo[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","1019","test_edit_todo_text[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","251","test_delete_single_todo[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","210","test_cancel_edit_todo[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","220","test_save_edited_todo[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","549","test_completed_tab_shows_only_completed[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","303","test_checkbox_interaction[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","290","test_hover_effect_delete_button[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","137","test_add_todo_with_special_character[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","503","test_active_todo_counter[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","69","test_tab_navigation[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","28","test_input_placeholder_text[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","206","test_add_single_todo_item[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","376","test_clear_completed_button[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","293","test_add_very_long_todo_text[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","75","test_header_text_and_styling[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","1176","test_switch_to_active_tab[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","591","test_active_todo_counter[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","530","test_switch_between_tabs[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","72","test_tab_navigation[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","168","test_add_todo_with_special_character[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","2627","test_view_all_todos[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","721","test_delete_all_todos_individually[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","144","test_input_field_behavior[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","360","test_add_multiple_todo_items[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","337","test_filter_shows_only_active_todos[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","446","test_filter_shows_only_active_todos[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","476","test_add_multiple_todo_items[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","1020","test_edit_to_empty_text[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","353","test_mark_multiple_todos_complete[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","473","test_mark_single_todo_complete[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","343","test_unmark_completed_todo[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","323","test_cancel_edit_todo[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","379","test_complete_all_todos[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","110","test_input_field_behavior[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","431","test_clear_completed_todos[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","339","test_all_tab_selected_by_default[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","472","test_empty_completed_tab[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","1684","test_mark_multiple_todos_complete[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","636","test_switch_between_tabs[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","1070","test_counter_shows_total_active_items[firefox]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","333","test_empty_completed_tab[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","606","test_clear_completed_todos[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","197","test_edit_to_empty_text[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","221","test_add_single_todo_item[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","113","test_add_empty_todo[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","384","test_switch_to_active_tab[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","265","test_mark_single_todo_complete[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","596","test_completed_tab_shows_only_completed[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","237","test_checkbox_interaction[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","156","test_all_tab_selected_by_default[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","224","test_hover_effect_delete_button[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","303","test_save_edited_todo[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","82","test_input_placeholder_text[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","462","test_view_all_todos[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","283","test_delete_single_todo[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","444","test_counter_shows_total_active_items[chromium]","tests","2025-12-29","passed","2025-12-29","","test_filter_tabs","",""
"","561","test_delete_all_todos_individually[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","207","test_footer_visibility_rules[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","800","test_complete_all_todos[firefox]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","216","test_clear_completed_button[chromium]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","122","test_header_text_and_styling[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","221","test_edit_todo_text[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
"","225","test_footer_visibility_rules[firefox]","tests","2025-12-29","passed","2025-12-29","","test_ui_validation","",""
"","201","test_add_very_long_todo_text[chromium]","tests","2025-12-29","passed","2025-12-29","","test_todo_functionality","",""
